id,activity_hour,step_total,calories,total_intensity,average_intensity
1503960366,2016-03-12 00:00:00,0,48,0,0.0
1503960366,2016-03-12 01:00:00,0,48,0,0.0
1503960366,2016-03-12 02:00:00,0,48,0,0.0
1503960366,2016-03-12 03:00:00,0,48,0,0.0
1503960366,2016-03-12 04:00:00,0,48,0,0.0
1503960366,2016-03-12 05:00:00,0,48,0,0.0
1503960366,2016-03-12 06:00:00,0,48,0,0.0
1503960366,2016-03-12 07:00:00,0,48,0,0.0
1503960366,2016-03-12 08:00:00,0,48,0,0.0
1503960366,2016-03-12 09:00:00,8,49,1,0.016667
1503960366,2016-03-12 10:00:00,551,89,26,0.433333
1503960366,2016-03-12 11:00:00,1764,134,49,0.816667
1503960366,2016-03-12 12:00:00,1259,130,47,0.783333
1503960366,2016-03-12 13:00:00,253,81,20,0.333333
1503960366,2016-03-12 14:00:00,4470,254,121,2.016667
1503960366,2016-03-12 15:00:00,4919,271,129,2.15
1503960366,2016-03-12 16:00:00,1905,141,42,0.7
1503960366,2016-03-12 17:00:00,1038,104,20,0.333333
1503960366,2016-03-12 18:00:00,14,54,2,0.033333
1503960366,2016-03-12 19:00:00,606,97,30,0.5
1503960366,2016-03-12 20:00:00,56,58,4,0.066667
1503960366,2016-03-12 21:00:00,782,100,29,0.483333
1503960366,2016-03-12 22:00:00,1132,123,41,0.683333
1503960366,2016-03-12 23:00:00,918,111,35,0.583333
1503960366,2016-03-13 00:00:00,39,55,3,0.05
1503960366,2016-03-13 01:00:00,0,48,0,0.0
1503960366,2016-03-13 02:00:00,27,50,1,0.016667
1503960366,2016-03-13 03:00:00,0,48,0,0.0
1503960366,2016-03-13 04:00:00,0,48,0,0.0
1503960366,2016-03-13 05:00:00,0,48,0,0.0
1503960366,2016-03-13 06:00:00,0,48,0,0.0
1503960366,2016-03-13 07:00:00,0,49,0,0.0
1503960366,2016-03-13 08:00:00,6,49,1,0.016667
1503960366,2016-03-13 09:00:00,73,56,5,0.083333
1503960366,2016-03-13 10:00:00,2850,189,85,1.416667
1503960366,2016-03-13 11:00:00,4854,270,130,2.166667
1503960366,2016-03-13 12:00:00,24,52,3,0.05
1503960366,2016-03-13 13:00:00,118,66,9,0.15
1503960366,2016-03-13 14:00:00,19,57,3,0.05
1503960366,2016-03-13 15:00:00,510,89,23,0.383333
1503960366,2016-03-13 16:00:00,510,91,25,0.416667
1503960366,2016-03-13 17:00:00,96,61,5,0.083333
1503960366,2016-03-13 18:00:00,4100,237,110,1.833333
1503960366,2016-03-13 19:00:00,1756,146,57,0.95
1503960366,2016-03-13 20:00:00,477,87,25,0.416667
1503960366,2016-03-13 21:00:00,147,66,9,0.15
1503960366,2016-03-13 22:00:00,214,72,17,0.283333
1503960366,2016-03-13 23:00:00,1286,118,46,0.766667
1503960366,2016-03-14 00:00:00,54,56,4,0.066667
1503960366,2016-03-14 01:00:00,53,54,3,0.05
1503960366,2016-03-14 02:00:00,0,49,0,0.0
1503960366,2016-03-14 03:00:00,0,48,0,0.0
1503960366,2016-03-14 04:00:00,0,48,0,0.0
1503960366,2016-03-14 05:00:00,0,49,0,0.0
1503960366,2016-03-14 06:00:00,0,48,0,0.0
1503960366,2016-03-14 07:00:00,53,53,3,0.05
1503960366,2016-03-14 08:00:00,212,68,14,0.233333
1503960366,2016-03-14 09:00:00,2832,199,61,1.016667
1503960366,2016-03-14 10:00:00,43,59,4,0.066667
1503960366,2016-03-14 11:00:00,220,72,14,0.233333
1503960366,2016-03-14 12:00:00,181,66,9,0.15
1503960366,2016-03-14 13:00:00,12,54,1,0.016667
1503960366,2016-03-14 14:00:00,44,59,6,0.1
1503960366,2016-03-14 15:00:00,205,71,13,0.216667
1503960366,2016-03-14 16:00:00,152,68,11,0.183333
1503960366,2016-03-14 17:00:00,226,76,17,0.283333
1503960366,2016-03-14 18:00:00,516,96,29,0.483333
1503960366,2016-03-14 19:00:00,559,100,33,0.55
1503960366,2016-03-14 20:00:00,1104,124,45,0.75
1503960366,2016-03-14 21:00:00,252,67,12,0.2
1503960366,2016-03-14 22:00:00,0,48,0,0.0
1503960366,2016-03-14 23:00:00,3305,198,90,1.5
1503960366,2016-03-15 00:00:00,33,56,3,0.05
1503960366,2016-03-15 01:00:00,20,55,2,0.033333
1503960366,2016-03-15 02:00:00,60,54,4,0.066667
1503960366,2016-03-15 03:00:00,0,48,0,0.0
1503960366,2016-03-15 04:00:00,7,49,1,0.016667
1503960366,2016-03-15 05:00:00,0,48,0,0.0
1503960366,2016-03-15 06:00:00,4,49,1,0.016667
1503960366,2016-03-15 07:00:00,11,49,1,0.016667
1503960366,2016-03-15 08:00:00,470,91,28,0.466667
1503960366,2016-03-15 09:00:00,1967,148,49,0.816667
1503960366,2016-03-15 10:00:00,729,92,17,0.283333
1503960366,2016-03-15 11:00:00,659,104,34,0.566667
1503960366,2016-03-15 12:00:00,1787,142,49,0.816667
1503960366,2016-03-15 13:00:00,333,77,16,0.266667
1503960366,2016-03-15 14:00:00,980,107,26,0.433333
1503960366,2016-03-15 15:00:00,371,77,14,0.233333
1503960366,2016-03-15 16:00:00,605,96,27,0.45
1503960366,2016-03-15 17:00:00,623,90,19,0.316667
1503960366,2016-03-15 18:00:00,467,82,15,0.25
1503960366,2016-03-15 19:00:00,282,75,16,0.266667
1503960366,2016-03-15 20:00:00,3319,207,86,1.433333
1503960366,2016-03-15 21:00:00,1558,131,35,0.583333
1503960366,2016-03-15 22:00:00,786,108,37,0.616667
1503960366,2016-03-15 23:00:00,313,76,15,0.25
1503960366,2016-03-16 00:00:00,0,48,0,0.0
1503960366,2016-03-16 01:00:00,0,48,0,0.0
1503960366,2016-03-16 02:00:00,4,50,1,0.016667
1503960366,2016-03-16 03:00:00,0,48,0,0.0
1503960366,2016-03-16 04:00:00,0,48,0,0.0
1503960366,2016-03-16 05:00:00,0,49,0,0.0
1503960366,2016-03-16 06:00:00,0,48,0,0.0
1503960366,2016-03-16 07:00:00,70,56,6,0.1
1503960366,2016-03-16 08:00:00,490,91,27,0.45
1503960366,2016-03-16 09:00:00,1513,125,27,0.45
1503960366,2016-03-16 10:00:00,224,73,12,0.2
1503960366,2016-03-16 11:00:00,874,105,36,0.6
1503960366,2016-03-16 12:00:00,1451,124,34,0.566667
1503960366,2016-03-16 13:00:00,329,79,16,0.266667
1503960366,2016-03-16 14:00:00,61,61,3,0.05
1503960366,2016-03-16 15:00:00,456,86,19,0.316667
1503960366,2016-03-16 16:00:00,775,103,28,0.466667
1503960366,2016-03-16 17:00:00,1446,122,43,0.716667
1503960366,2016-03-16 18:00:00,2407,166,74,1.233333
1503960366,2016-03-16 19:00:00,103,59,7,0.116667
1503960366,2016-03-16 20:00:00,447,72,16,0.266667
1503960366,2016-03-16 21:00:00,2120,146,49,0.816667
1503960366,2016-03-16 22:00:00,273,78,18,0.3
1503960366,2016-03-16 23:00:00,455,82,18,0.3
1503960366,2016-03-17 00:00:00,263,70,11,0.183333
1503960366,2016-03-17 01:00:00,23,50,1,0.016667
1503960366,2016-03-17 02:00:00,7,49,1,0.016667
1503960366,2016-03-17 03:00:00,0,48,0,0.0
1503960366,2016-03-17 04:00:00,0,48,0,0.0
1503960366,2016-03-17 05:00:00,0,48,0,0.0
1503960366,2016-03-17 06:00:00,0,49,0,0.0
1503960366,2016-03-17 07:00:00,6,50,1,0.016667
1503960366,2016-03-17 08:00:00,210,67,11,0.183333
1503960366,2016-03-17 09:00:00,1530,125,27,0.45
1503960366,2016-03-17 10:00:00,124,69,11,0.183333
1503960366,2016-03-17 11:00:00,1803,148,54,0.9
1503960366,2016-03-17 12:00:00,113,70,11,0.183333
1503960366,2016-03-17 13:00:00,1124,113,23,0.383333
1503960366,2016-03-17 14:00:00,1160,119,25,0.416667
1503960366,2016-03-17 15:00:00,409,86,20,0.333333
1503960366,2016-03-17 16:00:00,631,94,24,0.4
1503960366,2016-03-17 17:00:00,203,66,5,0.083333
1503960366,2016-03-17 18:00:00,396,76,15,0.25
1503960366,2016-03-17 19:00:00,2165,158,64,1.066667
1503960366,2016-03-17 20:00:00,147,75,16,0.266667
1503960366,2016-03-17 21:00:00,2016,146,49,0.816667
1503960366,2016-03-17 22:00:00,521,97,31,0.516667
1503960366,2016-03-17 23:00:00,1176,118,35,0.583333
1503960366,2016-03-18 00:00:00,389,76,13,0.216667
1503960366,2016-03-18 01:00:00,112,58,6,0.1
1503960366,2016-03-18 02:00:00,0,48,0,0.0
1503960366,2016-03-18 03:00:00,0,48,0,0.0
1503960366,2016-03-18 04:00:00,0,48,0,0.0
1503960366,2016-03-18 05:00:00,4,49,1,0.016667
1503960366,2016-03-18 06:00:00,19,51,2,0.033333
1503960366,2016-03-18 07:00:00,0,49,0,0.0
1503960366,2016-03-18 08:00:00,172,67,11,0.183333
1503960366,2016-03-18 09:00:00,1952,147,36,0.6
1503960366,2016-03-18 10:00:00,279,73,12,0.2
1503960366,2016-03-18 11:00:00,207,72,12,0.2
1503960366,2016-03-18 12:00:00,145,64,4,0.066667
1503960366,2016-03-18 13:00:00,242,68,7,0.116667
1503960366,2016-03-18 14:00:00,3160,207,86,1.433333
1503960366,2016-03-18 15:00:00,852,101,33,0.55
1503960366,2016-03-18 16:00:00,270,76,14,0.233333
1503960366,2016-03-18 17:00:00,24,59,2,0.033333
1503960366,2016-03-18 18:00:00,444,82,16,0.266667
1503960366,2016-03-18 19:00:00,4093,238,110,1.833333
1503960366,2016-03-18 20:00:00,1445,121,21,0.35
1503960366,2016-03-18 21:00:00,332,72,14,0.233333
1503960366,2016-03-18 22:00:00,13,54,2,0.033333
1503960366,2016-03-18 23:00:00,390,74,12,0.2
1503960366,2016-03-19 00:00:00,138,57,5,0.083333
1503960366,2016-03-19 01:00:00,0,48,0,0.0
1503960366,2016-03-19 02:00:00,0,48,0,0.0
1503960366,2016-03-19 03:00:00,10,49,1,0.016667
1503960366,2016-03-19 04:00:00,0,48,0,0.0
1503960366,2016-03-19 05:00:00,0,48,0,0.0
1503960366,2016-03-19 06:00:00,0,49,0,0.0
1503960366,2016-03-19 07:00:00,53,52,2,0.033333
1503960366,2016-03-19 08:00:00,538,92,28,0.466667
1503960366,2016-03-19 09:00:00,3454,216,69,1.15
1503960366,2016-03-19 10:00:00,2106,148,54,0.9
1503960366,2016-03-19 11:00:00,1307,130,37,0.616667
1503960366,2016-03-19 12:00:00,909,109,27,0.45
1503960366,2016-03-19 13:00:00,303,74,13,0.216667
1503960366,2016-03-19 14:00:00,150,71,14,0.233333
1503960366,2016-03-19 15:00:00,123,61,6,0.1
1503960366,2016-03-19 16:00:00,127,63,8,0.133333
1503960366,2016-03-19 17:00:00,198,69,10,0.166667
1503960366,2016-03-19 18:00:00,50,58,3,0.05
1503960366,2016-03-19 19:00:00,533,92,26,0.433333
1503960366,2016-03-19 20:00:00,433,86,22,0.366667
1503960366,2016-03-19 21:00:00,75,58,6,0.1
1503960366,2016-03-19 22:00:00,850,97,31,0.516667
1503960366,2016-03-19 23:00:00,4067,234,111,1.85
1503960366,2016-03-20 00:00:00,115,64,7,0.116667
1503960366,2016-03-20 01:00:00,0,49,0,0.0
1503960366,2016-03-20 02:00:00,0,48,0,0.0
1503960366,2016-03-20 03:00:00,0,48,0,0.0
1503960366,2016-03-20 04:00:00,0,48,0,0.0
1503960366,2016-03-20 05:00:00,0,48,0,0.0
1503960366,2016-03-20 06:00:00,0,48,0,0.0
1503960366,2016-03-20 07:00:00,0,48,0,0.0
1503960366,2016-03-20 08:00:00,0,48,0,0.0
1503960366,2016-03-20 09:00:00,1109,119,36,0.6
1503960366,2016-03-20 10:00:00,5000,294,113,1.883333
1503960366,2016-03-20 11:00:00,1117,121,42,0.7
1503960366,2016-03-20 12:00:00,312,82,20,0.333333
1503960366,2016-03-20 13:00:00,343,80,18,0.3
1503960366,2016-03-20 14:00:00,578,96,29,0.483333
1503960366,2016-03-20 15:00:00,876,109,29,0.483333
1503960366,2016-03-20 16:00:00,1373,116,22,0.366667
1503960366,2016-03-20 17:00:00,1841,142,25,0.416667
1503960366,2016-03-20 18:00:00,638,104,36,0.6
1503960366,2016-03-20 19:00:00,718,109,40,0.666667
1503960366,2016-03-20 20:00:00,421,76,14,0.233333
1503960366,2016-03-20 21:00:00,78,55,4,0.066667
1503960366,2016-03-20 22:00:00,57,57,3,0.05
1503960366,2016-03-20 23:00:00,552,87,23,0.383333
1503960366,2016-03-21 00:00:00,97,58,5,0.083333
1503960366,2016-03-21 01:00:00,0,48,0,0.0
1503960366,2016-03-21 02:00:00,0,48,0,0.0
1503960366,2016-03-21 03:00:00,11,50,2,0.033333
1503960366,2016-03-21 04:00:00,0,48,0,0.0
1503960366,2016-03-21 05:00:00,0,48,0,0.0
1503960366,2016-03-21 06:00:00,0,48,0,0.0
1503960366,2016-03-21 07:00:00,55,56,6,0.1
1503960366,2016-03-21 08:00:00,1114,116,27,0.45
1503960366,2016-03-21 09:00:00,1113,104,17,0.283333
1503960366,2016-03-21 10:00:00,308,79,17,0.283333
1503960366,2016-03-21 11:00:00,467,82,17,0.283333
1503960366,2016-03-21 12:00:00,1884,142,51,0.85
1503960366,2016-03-21 13:00:00,184,67,9,0.15
1503960366,2016-03-21 14:00:00,298,79,19,0.316667
1503960366,2016-03-21 15:00:00,497,83,16,0.266667
1503960366,2016-03-21 16:00:00,355,83,20,0.333333
1503960366,2016-03-21 17:00:00,588,99,31,0.516667
1503960366,2016-03-21 18:00:00,1564,132,28,0.466667
1503960366,2016-03-21 19:00:00,396,79,18,0.3
1503960366,2016-03-21 20:00:00,99,67,11,0.183333
1503960366,2016-03-21 21:00:00,172,70,14,0.233333
1503960366,2016-03-21 22:00:00,371,81,20,0.333333
1503960366,2016-03-21 23:00:00,447,79,16,0.266667
1503960366,2016-03-22 00:00:00,0,47,0,0.0
1503960366,2016-03-22 01:00:00,0,47,0,0.0
1503960366,2016-03-22 02:00:00,0,47,0,0.0
1503960366,2016-03-22 03:00:00,0,47,0,0.0
1503960366,2016-03-22 04:00:00,0,47,0,0.0
1503960366,2016-03-22 05:00:00,0,47,0,0.0
1503960366,2016-03-22 06:00:00,0,47,0,0.0
1503960366,2016-03-22 07:00:00,0,47,0,0.0
1503960366,2016-03-22 08:00:00,34,50,2,0.033333
1503960366,2016-03-22 09:00:00,1732,135,26,0.433333
1503960366,2016-03-22 10:00:00,497,90,24,0.4
1503960366,2016-03-22 11:00:00,296,76,14,0.233333
1503960366,2016-03-22 12:00:00,322,78,15,0.25
1503960366,2016-03-22 13:00:00,657,95,24,0.4
1503960366,2016-03-22 14:00:00,1657,134,44,0.733333
1503960366,2016-03-22 15:00:00,455,80,13,0.216667
1503960366,2016-03-22 16:00:00,278,71,9,0.15
1503960366,2016-03-22 17:00:00,953,107,15,0.25
1503960366,2016-03-22 18:00:00,1123,109,23,0.383333
1503960366,2016-03-22 19:00:00,1479,120,22,0.366667
1503960366,2016-03-22 20:00:00,366,83,22,0.366667
1503960366,2016-03-22 21:00:00,349,74,14,0.233333
1503960366,2016-03-22 22:00:00,4587,265,117,1.95
1503960366,2016-03-22 23:00:00,351,71,10,0.166667
1503960366,2016-03-23 00:00:00,14,53,2,0.033333
1503960366,2016-03-23 01:00:00,50,53,3,0.05
1503960366,2016-03-23 02:00:00,29,54,4,0.066667
1503960366,2016-03-23 03:00:00,0,47,0,0.0
1503960366,2016-03-23 04:00:00,0,47,0,0.0
1503960366,2016-03-23 05:00:00,0,48,0,0.0
1503960366,2016-03-23 06:00:00,0,48,0,0.0
1503960366,2016-03-23 07:00:00,82,56,6,0.1
1503960366,2016-03-23 08:00:00,534,89,25,0.416667
1503960366,2016-03-23 09:00:00,1623,133,24,0.4
1503960366,2016-03-23 10:00:00,504,85,17,0.283333
1503960366,2016-03-23 11:00:00,414,83,19,0.316667
1503960366,2016-03-23 12:00:00,411,81,17,0.283333
1503960366,2016-03-23 13:00:00,1226,114,37,0.616667
1503960366,2016-03-23 14:00:00,2674,176,76,1.266667
1503960366,2016-03-23 15:00:00,236,71,11,0.183333
1503960366,2016-03-23 16:00:00,383,81,16,0.266667
1503960366,2016-03-23 17:00:00,411,78,14,0.233333
1503960366,2016-03-23 18:00:00,325,70,8,0.133333
1503960366,2016-03-23 19:00:00,2937,183,80,1.333333
1503960366,2016-03-23 20:00:00,1086,113,30,0.5
1503960366,2016-03-23 21:00:00,61,57,5,0.083333
1503960366,2016-03-23 22:00:00,119,65,10,0.166667
